card_id,attack_name,description,damage
base1-1,Confuse Ray,"Flip a coin. If heads, the Defending Pokémon is now Confused.",30
base1-2,Hydro Pump,Does 40 damage plus 10 more damage for each Water Energy attached to Blastoise but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,40+
base1-3,Scrunch,"Flip a coin. If heads, prevent all damage done to Chansey during your opponent's next turn. (Any other effects of attacks still happen.)",
base1-3,Double-edge,Chansey does 80 damage to itself.,80
base1-4,Fire Spin,Discard 2 Energy cards attached to Charizard in order to use this attack.,100
base1-5,Sing,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",
base1-5,Metronome,"Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefairy's type is still Colorless.)",
base1-6,Dragon Rage,,50
base1-6,Bubblebeam,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",40
base1-7,Jab,,20
base1-7,Special Punch,,40
base1-8,Seismic Toss,,60
base1-9,Thunder Wave,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",30
base1-9,Selfdestruct,Does 20 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magneton does 80 damage to itself.,80
base1-10,Psychic,Does 10 damage plus 10 more damage for each Energy card attached to the Defending Pokémon.,10+
base1-10,Barrier,"Discard 1 Psychic Energy card attached to Mewtwo in order to prevent all effects of attacks, including damage, done to Mewtwo during your opponent's next turn.",
base1-11,Thrash,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage and Nidoking does 10 damage to itself.",30+
base1-11,Toxic,The Defending Pokémon is now Poisoned. It now takes 20 Poison damage instead of 10 after each player's turn (even if it was already Poisoned).,20
base1-12,Lure,"If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.",
base1-12,Fire Blast,Discard 1 Fire Energy card attached to Ninetales in order to use this attack.,80
base1-13,Water Gun,Does 30 damage plus 10 more damage for each Water Energy attached to Poliwrath but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,30+
base1-13,Whirlpool,"If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",40
base1-14,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu.",20
base1-14,Thunder,"Flip a coin. If tails, Raichu does 30 damage to itself.",60
base1-15,Solarbeam,,60
base1-16,Thunder,"Flip a coin. If tails, Zapdos does 30 damage to itself.",60
base1-16,Thunderbolt,Discard all Energy cards attached to Zapdos in order to use this attack.,100
base1-17,Twineedle,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
base1-17,Poison Sting,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",40
base1-18,Slam,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
base1-18,Hyper Beam,"If the Defending Pokémon has any Energy cards attached to it, choose 1 of them and discard it.",20
base1-19,Slash,,40
base1-19,Earthquake,Does 10 damage to each of your own Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.),70
base1-20,Thundershock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
base1-20,Thunderpunch,"Flip a coin. If heads, this attack does 30 damage plus 10 more damage; if tails, this attack does 30 damage plus Electabuzz does 10 damage to itself.",30+
base1-21,Electric Shock,"Flip a coin. If tails, Electrode does 10 damage to itself.",50
base1-22,Whirlwind,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",20
base1-22,Mirror Move,"If Pidgeotto was attacked last turn, do the final result of that attack on Pidgeotto to the Defending Pokémon.",
base1-23,Flamethrower,Discard 1 Fire Energy card attached to Arcanine in order to use this attack.,50
base1-23,Take Down,Arcanine does 30 damage to itself.,80
base1-24,Slash,,30
base1-24,Flamethrower,Discard 1 Fire Energy card attached to Charmeleon in order to use this attack.,50
base1-25,Aurora Beam,,50
base1-25,Ice Beam,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",30
base1-26,Pound,,10
base1-27,Leek Slap,"Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Farfetch'd stays in play (even putting Farfetch'd on the Bench won't let you use it again).",30
base1-27,Pot Smash,,30
base1-28,Flare,,20
base1-29,Hypnosis,The Defending Pokémon is now Asleep.,
base1-29,Dream Eater,You can't use this attack unless the Defending Pokémon is Asleep.,50
base1-30,Vine Whip,,30
base1-30,Poisonpowder,The Defending Pokémon is now Poisoned.,20
base1-31,Doubleslap,Flip 2 coins. This attack does 10 damage times the number of heads.,10×
base1-31,Meditate,Does 20 damage plus 10 more damage for each damage counter on the Defending Pokémon.,20+
base1-32,Recover,Discard 1 Psychic Energy card attached to Kadabra in order to use this attack. Remove all damage counters from Kadabra.,
base1-32,Super Psy,,50
base1-33,Stiffen,"Flip a coin. If heads, prevent all damage done to Kakuna during your opponent's next turn. (Any other effects of attacks still happen.)",
base1-33,Poisonpowder,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",20
base1-34,Karate Chop,Does 50 damage minus 10 damage for each damage counter on Machoke.,50-
base1-34,Submission,Machoke does 20 damage to itself.,60
base1-35,Tackle,,10
base1-35,Flail,Does 10 damage times the number of damage counters on Magikarp.,10×
base1-36,Fire Punch,,30
base1-36,Flamethrower,Discard 1 Fire Energy card attached to Magmar in order to use this attack.,50
base1-37,Double Kick,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
base1-37,Horn Drill,,50
base1-38,Amnesia,Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.,
base1-38,Doubleslap,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
base1-39,Conversion 1,"If the Defending Pokémon has a Weakness, you may change it to a type of your choice other than Colorless.",
base1-39,Conversion 2,Change Porygon's Resistance to a type of your choice other than Colorless.,
base1-40,Bite,,20
base1-40,Super Fang,Does damage to the Defending Pokémon equal to half the Defending Pokémon's remaining HP (rounded up to the nearest 10).,
base1-41,Headbutt,,10
base1-42,Withdraw,"Flip a coin. If heads, prevent all damage done to Wartortle during your opponent's next turn. (Any other effects of attacks still happen.)",
base1-42,Bite,,40
base1-43,Psyshock,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
base1-44,Leech Seed,"Unless all damage from this attack is prevented, you may remove 1 damage counter from Bulbasaur.",20
base1-45,String Shot,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
base1-46,Scratch,,10
base1-46,Ember,Discard 1 Fire Energy card attached to Charmander in order to use this attack.,30
base1-47,Dig,,10
base1-47,Mud Slap,,30
base1-48,Fury Attack,Flip 2 coins. This attack does 10 damage times the number of heads.,10×
base1-49,Pound,,10
base1-49,Confuse Ray,"Flip a coin. If heads, the Defending Pokémon is now Confused.",10
base1-50,Sleeping Gas,"Flip a coin. If heads, the Defending Pokémon is now Asleep.",
base1-50,Destiny Bond,"Discard 1 Psychic Energy card attached to Gastly in order to use this attack. If a Pokémon Knocks Out Gastly during your opponent's next turn, Knock Out that Pokémon.",
base1-51,Foul Gas,"Flip a coin. If heads, the Defending Pokémon is now Poisoned; if tails, it is now Confused.",10
base1-52,Low Kick,,20
base1-53,Thunder Wave,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
base1-53,Selfdestruct,Does 10 damage to each Pokémon on each player's Bench. (Don't apply Weakness and Resistance for Benched Pokémon.) Magnemite does 40 damage to itself.,40
base1-54,Stiffen,"Flip a coin. If heads, prevent all damage done to Metapod during your opponent's next turn. (Any other effects of attacks still happen.)",
base1-54,Stun Spore,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
base1-55,Horn Hazard,"Flip a coin. If tails, this attack does nothing.",30
base1-56,Rock Throw,,10
base1-56,Harden,"During your opponent's next turn, whenever 30 or less damage is done to Onix (after applying Weakness and Resistance), prevent that damage. (Any other effects of attacks still happen.)",
base1-57,Whirlwind,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",10
base1-58,Gnaw,,10
base1-58,Thunder Jolt,"Flip a coin. If tails, Pikachu does 10 damage to itself.",30
base1-59,Water Gun,Does 10 damage plus 10 more damage for each Water Energy attached to Poliwag but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd don't count.,10+
base1-60,Smash Kick,,20
base1-60,Flame Tail,,30
base1-61,Bite,,20
base1-62,Sand-attack,"If the Defending Pokémon tries to attack during your opponent's next turn, your opponent flips a coin. If tails, that attack does nothing.",10
base1-63,Bubble,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
base1-63,Withdraw,"Flip a coin. If heads, prevent all damage done to Squirtle during your opponent's next turn. (Any other effects of attacks still happen.)",
base1-64,Recover,Discard 1 Water Energy card attached to Starmie in order to use this attack. Remove all damage counters from Starmie.,
base1-64,Star Freeze,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
base1-65,Slap,,20
base1-66,Bind,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
base1-66,Poisonpowder,The Defending Pokémon is now Poisoned.,20
base1-67,Tackle,,10
base1-68,Confuse Ray,"Flip a coin. If heads, the Defending Pokémon is now Confused.",10
base1-69,Poison Sting,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",10
base2-1,Metronome,"Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)",
base2-1,Minimize,All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).,
base2-2,Tackle,,20
base2-2,Chain Lightning,"If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon (including your own).",20
base2-3,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
base2-3,Flamethrower,Discard 1 Fire Energy card attached to Flareon in order to use this attack.,60
base2-4,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
base2-4,Pin Missile,Flip 4 coins. This attack does 20 damage times the number of heads.,20×
base2-5,Fetch,Draw a card.,
base2-5,Comet Punch,Flip 4 coins. This attack does 20 damage times the number of heads.,20×
base2-6,Meditate,Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.,10+
base2-7,Boyfriends,Does 20 damage plus 20 more damage for each Nidoking you have in play.,20+
base2-7,Mega Punch,,50
base2-8,Wing Attack,,20
base2-8,Hurricane,"Unless this attack Knocks Out the Defending Pokémon, return the Defending Pokémon and all cards attached to it to your opponent's hand.",30
base2-9,Irongrip,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
base2-9,Guillotine,,50
base2-10,Swords Dance,"During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",
base2-10,Slash,,30
base2-11,Body Slam,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",30
base2-12,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
base2-12,Water Gun,Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,30+
base2-13,Venom Powder,"Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",10
base2-14,Lure,"If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.",
base2-14,Acid,"Flip a coin. If heads, the Defending Pokémon can't retreat during your next turn.",20
base2-15,Petal Dance,Flip 3 coins. This attack does 40 damage times the number of heads. Vileplume is now Confused (after doing damage).,40×
base2-16,Lullaby,The Defending Pokémon is now Asleep.,
base2-16,Do the Wave,Does 10 damage plus 10 more damage for each of your Benched Pokémon.,10+
base2-17,Metronome,"Choose 1 of the Defending Pokémon's attacks. Metronome copies that attack except for its Energy costs and anything else required in order to use that attack, such as discarding Energy cards. (No matter what type the Defending Pokémon is, Clefable's type is still Colorless.)",
base2-17,Minimize,All damage done by attacks to Clefable during your opponent's next turn is reduced by 20 (after applying Weakness and Resistance).,
base2-18,Tackle,,20
base2-18,Chain Lightning,"If the Defending Pokémon isn't Colorless, this attack does 10 damage to each Benched Pokémon of the same type as the Defending Pokémon (including your own).",20
base2-19,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
base2-19,Flamethrower,Discard 1 Fire Energy card attached to Flareon in order to use this attack.,60
base2-20,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
base2-20,Pin Missile,Flip 4 coins. This attack does 20 damage times the number of heads.,20×
base2-21,Fetch,Draw a card.,
base2-21,Comet Punch,Flip 4 coins. This attack does 20 damage times the number of heads.,20×
base2-22,Meditate,Does 10 damage plus 10 more damage for each damage counter on the Defending Pokémon.,10+
base2-23,Boyfriends,Does 20 damage plus 20 more damage for each Nidoking you have in play.,20+
base2-23,Mega Punch,,50
base2-24,Wing Attack,,20
base2-24,Hurricane,"Unless this attack Knocks Out the Defending Pokémon, return the Defending Pokémon and all cards attached to it to your opponent's hand.",30
base2-25,Irongrip,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",20
base2-25,Guillotine,,50
base2-26,Swords Dance,"During your next turn, Scyther's Slash attack's base damage is 60 instead of 30.",
base2-26,Slash,,30
base2-27,Body Slam,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",30
base2-28,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
base2-28,Water Gun,Does 30 damage plus 10 more damage for each Water Energy attached to Vaporeon but not used to pay for this attack's Energy cost. Extra Water Energy after the 2nd doesn't count.,30+
base2-29,Venom Powder,"Flip a coin. If heads, the Defending Pokémon is now Confused and Poisoned.",10
base2-30,Lure,"If your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.",
base2-30,Acid,"Flip a coin. If heads, the Defending Pokémon can't retreat during your next turn.",20
base2-31,Petal Dance,Flip 3 coins. This attack does 40 damage times the number of heads. Vileplume is now Confused (after doing damage).,40×
base2-32,Lullaby,The Defending Pokémon is now Asleep.,
base2-32,Do the Wave,Does 10 damage plus 10 more damage for each of your Benched Pokémon.,10+
base2-33,Whirlwind,"If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon.)",20
base2-33,Mega Drain,Remove a number of damage counters from Butterfree equal to half the damage done to the Defending Pokémon (after applying Weakness and Resistance) (rounded up to the nearest 10).,40
base2-34,Rage,Does 10 damage plus 10 more damage for each damage counter on Dodrio.,10+
base2-35,Teleport,Switch Exeggutor with 1 of your Benched Pokémon.,
base2-35,Big Eggsplosion,Flip a number of coins equal to the number of Energy attached to Exeggutor. This attack does 20 damage times the number of heads.,20×
base2-36,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Fearow.",20
base2-36,Drill Peck,,40
base2-37,Poisonpowder,The Defending Pokémon is now Poisoned.,
base2-37,Foul Odor,Both the Defending Pokémon and Gloom are now Confused (after doing damage).,20
base2-38,Tongue Wrap,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
base2-38,Supersonic,"Flip a coin. If heads, the Defending Pokémon is now Confused.",
base2-39,Bonemerang,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
base2-39,Call for Friend,Search your deck for a Fighting Basic Pokémon card and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),
base2-40,Supersonic,"Flip a coin. If heads, the Defending Pokémon is now Confused.",
base2-40,Double Kick,Flip 2 coins. This attack does 30 damage times the number of heads.,30×
base2-41,Spore,The Defending Pokémon is now Asleep.,
base2-41,Slash,,30
base2-42,Scratch,,20
base2-42,Pounce,"If the Defending Pokémon attacks Persian during your next turn, any damage done by the attack is reduced by 10 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)",30
base2-43,Fury Swipes,Flip 3 coins. This attack does 20 damage times the number of heads.,20×
base2-43,Tantrum,"Flip a coin. If tails, Primeape is now Confused (after doing damage).",50
base2-44,Stomp,"Flip a coin. If heads, this attack does 20 damage plus 10 more damage; if tails, this attack does 20 damage.",20+
base2-44,Agility,"Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Rapidash.",30
base2-45,Horn Attack,,30
base2-45,Ram,"Rhydon does 20 damage to itself. If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with the Defending Pokémon. (Do the damage before switching the Pokémon. Switch the Pokémon even if Rhydon is knocked out.)",50
base2-46,Horn Attack,,10
base2-46,Waterfall,,30
base2-47,Stomp,"Flip a coin. If heads, this attack does 20 damage plus 10 more damage; if tails, this attack does 20 damage.",20+
base2-47,Rampage,"Does 20 damage plus 10 more damage for each damage counter on Tauros. Flip a coin. If tails, Tauros is now Confused (after doing damage).",20+
base2-48,Poisonpowder,"Flip a coin. If heads, the Defending Pokémon is now Poisoned.",10
base2-48,Razor Leaf,,30
base2-49,Vine Whip,,10
base2-49,Call for Family,Search your deck for a Basic Pokémon named Bellsprout and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),
base2-50,Snivel,"If the Defending Pokémon attacks Cubone during your opponent's next turn, any damage done by the attack is reduced by 20 (after applying Weakness and Resistance). (Benching either Pokémon ends this effect.)",
base2-50,Rage,Does 10 damage plus 10 more damage for each damage counter on Cubone.,10+
base2-51,Tail Wag,"Flip a coin. If heads, the Defending Pokémon can't attack Eevee during your opponent's next turn. (Benching either Pokémon ends this effect.)",
base2-51,Quick Attack,"Flip a coin. If heads, this attack does 10 damage plus 20 more damage; if tails, this attack does 10 damage.",10+
base2-52,Hypnosis,The Defending Pokémon is now Asleep.,
base2-52,Leech Seed,"Unless all damage from this attack is prevented, you may remove 1 damage counter from Exeggcute.",20
base2-53,Horn Attack,,10
base2-54,Lullaby,The Defending Pokémon is now Asleep.,
base2-54,Pound,,20
base2-55,Scratch,,10
base2-56,Pay Day,"Flip a coin. If heads, draw a card.",10
base2-57,Fury Swipes,Flip 3 coins. This attack does 10 damage times the number of heads.,10×
base2-57,Call for Family,Search your deck for a Basic Pokémon named Nidoran ♂ or Nidoran ♀ and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),
base2-58,Stun Spore,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
base2-58,Sprout,Search your deck for a Basic Pokémon named Oddish and put it onto your Bench. Shuffle your deck afterward. (You can't use this attack if your Bench is full.),
base2-59,Scratch,,20
base2-59,Spore,The Defending Pokémon is now Asleep.,
base2-60,Spark,"If your opponent has any Benched Pokémon, choose 1 of them and this attack does 10 damage to it. (Don't apply Weakness and Resistance for Benched Pokémon.)",20
base2-61,Leer,"Flip a coin. If heads, the Defending Pokémon can't attack Rhyhorn during your opponent's next turn. (Benching either Pokémon ends this effect.)",
base2-61,Horn Attack,,30
base2-62,Peck,,10
base2-62,Mirror Move,"If Spearow was attacked last turn, do the final result of that attack on Spearow to the Defending Pokémon.",
base2-63,Stun Spore,"Flip a coin. If heads, the Defending Pokémon is now Paralyzed.",10
