type_name,resistance
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fire'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Water'],"{'type': 'Fighting', 'value': '-30'}"
['Lightning'],"{'type': 'Fighting', 'value': '-30'}"
['Grass'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fighting'],"{'type': 'Lightning', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Psychic'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fighting'],"{'type': 'Lightning', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Psychic'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fighting'],"{'type': 'Lightning', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Grass'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Grass'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Grass'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Grass'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Grass'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fighting'],"{'type': 'Lightning', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fighting'],"{'type': 'Lightning', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fighting'],"{'type': 'Lightning', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Fighting'],"{'type': 'Lightning', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Fighting', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
['Colorless'],"{'type': 'Psychic', 'value': '-30'}"
