id,image_url,caption,name,hp,set_name
pl3-1,https://images.pokemontcg.io/pl3/1_hires.png,"A Basic, SP Pokemon Card of type Darkness with the title Absol G and 70 HP of rarity Rare Holo from the set Supreme Victors.  It has the attack Feint Attack with the cost Darkness, the energy cost 1 with the description: Choose 1 of your opponent's Pokemon. This attack does 20 damage to that Pokemon. This attack's damage isn't affected by Weakness, Resistance, Poke-Powers, Poke-Bodies, or any other effects on that Pokemon. It has the attack Doom News with the cost Darkness, Colorless, Colorless, the energy cost 3 with the description: Return all Energy cards attached to Absol G to your hand. The Defending Pokemon is Knocked Out at the end of your opponent's next turn. It has weakness against Fighting 2. It has resistance against Psychic -20. ",Absol G,70,Supreme Victors
ex12-1,https://images.pokemontcg.io/ex12/1_hires.png,"A Stage 1 Pokemon Card of type Colorless with the title Aerodactyl and 70 HP of rarity Rare Holo evolved from Mysterious Fossil from the set Legend Maker.  It has the attack Power Blow with the cost Colorless, the energy cost 1 and the damage of 10+ with the description: Does 10 damage plus 10 more damage for each Energy attached to Aerodactyl. It has the attack Speed Stroke with the cost Colorless, Colorless, Colorless, the energy cost 3 and the damage of 40 with the description: During your opponent's next turn, prevent all effects, including damage, done to Aerodactyl by attacks from your opponent's Pokemon-ex. It has the ability Reactive Protection with the description: Any damage done to Aerodactyl by attacks from your opponent's Pokemon is reduced by 10 for each React Energy card attached to Aerodactyl (after applying Weakness and Resistance). It has weakness against Lightning 2. It has resistance against Fighting -30. ",Aerodactyl,70,Legend Maker
xy5-1,https://images.pokemontcg.io/xy5/1_hires.png,"A Basic Pokemon Card of type Grass with the title Weedle and 50 HP of rarity Common from the set Primal Clash and the flavor text: Its poison stinger is very powerful. Its bright-colored body is intended to warn off its enemies. It has the attack Multiply with the cost Grass, the energy cost 1 with the description: Search your deck for Weedle and put it onto your Bench. Shuffle your deck afterward. It has weakness against Fire 2. ",Weedle,50,Primal Clash
mcd19-1,https://images.pokemontcg.io/mcd19/1_hires.png,"A Basic Pokemon Card of type Grass with the title Caterpie and 50 HP of rarity None from the set McDonald's Collection 2019.  It has the attack Surprise Attack with the cost Grass, the energy cost 1 and the damage of 20 with the description: Flip a coin. If tails, this attack does nothing. ",Caterpie,50,McDonald's Collection 2019
ex7-1,https://images.pokemontcg.io/ex7/1_hires.png,"A Stage 1 Pokemon Card of type Water with the title Azumarill and 80 HP of rarity Rare Holo evolved from Marill from the set Team Rocket Returns.  It has the attack Water Punch with the cost Water, Colorless, the energy cost 2 and the damage of 20+ with the description: Flip a coin for each Water Energy attached to Azumarill. This attack does 20 damage plus 20 more damage for each heads. It has the ability Froth with the description: Once during your turn, when you play Azumarill from your hand to evolve 1 of your Active Pokemon, you may use this power. Each Defending Pokemon is now Paralyzed. It has weakness against Lightning 2. ",Azumarill,80,Team Rocket Returns
det1-1,https://images.pokemontcg.io/det1/1_hires.png,"A Basic Pokemon Card of type Grass with the title Bulbasaur and 60 HP of rarity Common from the set Detective Pikachu and the flavor text: A strange seed was planted on its back at birth. The plant sprouts and grows with this Pokemon. It has the attack Find a Friend with the cost Grass, the energy cost 1 with the description: Search your deck for a Grass Pokemon, reveal it, and put it into your hand. Then, shuffle your deck. It has weakness against Fire 2. ",Bulbasaur,60,Detective Pikachu
ru1-1,https://images.pokemontcg.io/ru1/1_hires.png,"A Stage 2 Pokemon Card of type Grass with the title Venusaur and 140 HP of rarity None evolved from Ivysaur from the set Pokemon Rumble.  It has the attack Giga Drain with the cost Grass, Grass, Colorless, Colorless, the energy cost 4 and the damage of 50 with the description: Remove from Venusaur the number of damage counters equal to the damage you did to the Defending Pokemon. It has weakness against Fire 2. ",Venusaur,140,Pokémon Rumble
ex3-1,https://images.pokemontcg.io/ex3/1_hires.png,"A Basic Pokemon Card of type Darkness with the title Absol and 70 HP of rarity Rare Holo from the set Dragon.  It has the attack Bad News with the cost Darkness, the energy cost 1 with the description: If the number of cards in your opponent's hand is at least 6, choose a number of cards there, without looking, until your opponent has 5 cards left. Have your opponent discard the cards you chose. It has the attack Prize Count with the cost Darkness, Colorless, the energy cost 2 and the damage of 20+ with the description: If you have more Prize cards left than your opponent, this attack does 20 damage plus 20 more damage. It has weakness against Fighting 2. It has resistance against Psychic -30. ",Absol,70,Dragon
hgss4-1,https://images.pokemontcg.io/hgss4/1_hires.png,"A Stage 2 Pokemon Card of type Metal with the title Aggron and 140 HP of rarity Rare Holo evolved from Lairon from the set HSTriumphant and the flavor text: You can tell its age by the length of its iron horns. It claims an entire mountain as its territory. It has the attack Second Strike with the cost Metal, Metal, Colorless, the energy cost 3 and the damage of 40 with the description: If the Defending Pokemon already has any damage counters on it, this attack does 40 damage plus 40 more damage. It has the attack Guard Claw with the cost Metal, Metal, Colorless, Colorless, the energy cost 4 and the damage of 60 with the description: During your opponent's next turn, any damage done to Aggron by attacks is reduced by 20 (after applying Weakness and Resistance). It has weakness against Fire 2. It has resistance against Psychic -20. ",Aggron,140,HS—Triumphant
ex11-1,https://images.pokemontcg.io/ex11/1_hires.png,"A Stage 2 Pokemon Card of type Grass, Metal with the title Beedrill  and 90 HP of rarity Rare Holo evolved from Kakuna from the set Delta Species.  It has the attack Super Slash with the cost Grass, Metal, Colorless, the energy cost 3 and the damage of 50+ with the description: If the Defending Pokemon is an Evolved Pokemon, this attack does 50 damage plus 30 more damage. It has the ability Final Sting with the description: Once during your turn (before your attack), you may Knock Out Beedrill. If you do, choose 1 of your opponent's Defending Pokemon. That Pokemon is now Paralyzed and Poisoned. Put 2 damage counters instead of 1 on that Pokemon between turns. This power can't be used if Beedrill is affected by a Special Condition. It has weakness against Fire 2. ",Beedrill δ,90,Delta Species
